Familia,Tàxon,Noms populars
Labiades,Thymus vulgaris L.,"['Farigola', 'Timó', 'Timonet']"
Adoxàcies,Sambucus nigra L.,"['Saüquèr', 'Saüc', 'Sabuc']"
Labiades,Rosmarinus officinalis L.,"['Romaní', 'Romer', 'Romero']"
Oleàcies,Olea europaea L. subsp. europaea var. europaea,"['Olivera', 'Oliver', ""Oli d'oliva""]"
Gramínies,Zea mays L.,"['Blat de moro', 'Cabellera de blat de moro', 'Panís']"
Rosàcies,Rubus ulmifolius Schott,"['Mora', 'Romeguera', 'Barsa']"
Juglandàcies,Juglans regia L.,"['Noguer', 'Noguera', 'Nou']"
Compostes,Matricaria recutita L.,"['Camamilla', 'Camamilla dolça', 'Mançanilla']"
Malvàcies,Tilia platyphyllos Scop.,"['Til·la', 'Til·ler', 'Tell']"
Verbenàcies,Lippia triphylla (L'Hér.) O.Kuntze,"['Marialluïsa', 'Herballuïsa', 'Verveine']"
Amaril·lidàcies,Allium sativum L.,"['All', 'Ajo', 'All Pau']"
Vitàcies,Vitis vinifera L.,"['Vinagre', 'Vinya', 'Vi']"
Gutíferes,Hypericum perforatum L.,"['Herba de cop', 'Herba de Sant Joan', 'Flor de Sant Joan']"
Urticàcies,Urtica dioica L.,"['Ortiga', 'Otriga', 'Estrígol']"
Gramínies,Triticum aestivum L.,"['Blat', 'Segó', 'Forment']"
Malvàcies,Malva sylvestris L.,"['Malva', 'Vauma', 'Mauva']"
Lauràcies,Laurus nobilis L.,"['Llorer', 'Llor', 'Llaurer']"
Amaril·lidàcies,Allium cepa L.,"['Ceba', 'Calçot', 'Ceba blanca']"
Labiades,Mentha spicata L.,"['Menta', 'Herba-sana', 'Menta de les faves']"
Umbel·líferes,Foeniculum vulgare Mill.,"['Fonoll', 'Fenoll', 'Fenull']"
Compostes,Artemisia absinthium L.,"['Donzell', 'Aixenç', 'Encens']"
Mirtàcies,Eucalyptus globulus Labill.,"['Eucaliptus', 'Caliptu*', 'Calistro']"
Gencianàcies,Gentiana lutea L.,"['Genciana', 'Gençana', 'Herba gençana']"
Ranunculàcies,Anemone hepatica L.,"['Herba fetgera', 'Herba del fetge', 'Fetgera']"
Papaveràcies,Papaver rhoeas L.,"['Rosella', 'Roella', 'Gallaret']"
Labiades,Origanum vulgare L.,"['Orenga', 'Marjolaine', 'Orégano']"
Moràcies,Ficus carica L.,"['Figuera', 'Figa', 'Figuera borda']"
Rutàcies,Citrus limon (L.) Burm.,"['Llimona', 'Llimoner', 'Llimó']"
Liliàcies,Lilium candidum L.,"['Lliri blanc', 'Lliri', 'Lliri de Sant Antoni']"
Urticàcies,Parietaria officinalis L. subsp. judaica (L.) Béguinot,"['Morella', 'Mollera roquera', 'Blet']"
